Temperaturdaten der Geräte
Datum: 2022_03_24

Version: v4.0-6-g89f8d29-dirty


abs. Zeit     rel. Zeit [s]       Out.Leistung [%]      Regler Temp. [°C]     Temp. Kurzwellig 1 [°C]            Temp. Langwellig AV 20:1 [°C]      Temp. Pt Oberfläche [°C]           Temp. Pt Raum [°C]                 
11:56:43       4.8                 10.0                  97.2                  94.0                               79.8                               93.9                               23.0                               
11:56:57       18.8                10.0                  96.6                  93.8                               120.6                              93.8                               23.0                               
11:57:11       32.4                10.0                  95.6                  110.0                              94.2                               93.7                               23.0                               
11:57:24       46.0                10.0                  98.6                  100.2                              85.9                               93.7                               23.0                               
11:57:38       59.6                10.0                  100.2                 96.4                               90.1                               93.5                               22.9                               
11:57:51       73.1                10.0                  98.4                  94.9                               92.2                               93.5                               22.9                               
11:58:05       86.6                10.0                  100.2                 94.1                               92.8                               93.6                               22.9                               
11:58:18       100.2               10.0                  96.8                  93.9                               93.6                               93.5                               23.0                               
11:58:32       113.7               10.0                  101.6                 93.7                               93.1                               93.6                               22.9                               
11:58:45       127.3               10.0                  99.6                  93.7                               93.5                               93.6                               22.9                               
11:58:59       140.9               10.0                  101.1                 93.8                               93.5                               93.8                               23.0                               
11:59:13       154.4               10.0                  99.1                  93.9                               93.6                               93.9                               23.0                               
11:59:26       167.9               10.0                  99.7                  94.0                               93.7                               94.0                               23.0                               
11:59:40       181.5               10.0                  97.7                  94.2                               93.9                               94.2                               23.0                               
11:59:53       195.1               10.0                  99.5                  94.4                               94.1                               94.4                               23.0                               
12:00:07       208.6               10.0                  96.9                  94.7                               94.4                               94.5                               23.0                               
12:00:20       222.2               10.0                  99.5                  94.7                               94.7                               94.8                               23.0                               
12:00:33       235.3               10.0                  101.0                 95.1                               94.9                               94.9                               23.0                               
12:00:47       248.4               10.0                  102.4                 95.3                               95.3                               95.2                               22.9                               
12:01:00       261.5               10.0                  101.1                 95.7                               95.6                               95.4                               23.0                               
12:01:13       274.6               10.0                  101.1                 96.1                               95.8                               95.9                               23.0                               
12:01:26       287.7               10.0                  101.3                 96.3                               96.2                               96.1                               23.0                               
12:01:39       300.8               8.6                   101.2                 96.7                               96.5                               96.6                               23.0                               
12:01:52       313.9               10.0                  106.8                 97.0                               96.8                               96.9                               23.0                               
12:02:05       327.0               10.0                  102.1                 97.3                               97.3                               97.2                               23.0                               
12:02:18       340.1               10.0                  102.0                 97.8                               97.7                               97.6                               23.0                               
12:02:31       353.2               10.0                  105.8                 98.2                               98.0                               98.0                               23.0                               
12:02:45       366.3               0.0                   102.2                 98.6                               98.3                               98.2                               23.0                               
12:02:58       379.5               8.8                   103.3                 99.0                               98.8                               98.6                               23.0                               
12:03:11       392.7               0.0                   106.9                 99.4                               99.2                               99.0                               23.0                               
12:03:24       406.0               0.0                   104.0                 99.8                               99.6                               99.4                               23.0                               
12:03:38       419.3               10.0                  102.5                 100.0                              99.9                               99.7                               23.0                               
12:03:51       432.6               0.0                   101.3                 100.3                              100.3                              100.0                              23.0                               
12:04:04       445.9               1.7                   106.0                 100.7                              100.6                              100.4                              23.0                               
12:04:17       459.2               0.0                   100.5                 101.0                              100.8                              100.6                              23.0                               
12:04:31       472.5               3.5                   103.7                 101.2                              101.1                              100.9                              23.0                               
12:04:44       485.9               1.3                   105.3                 101.4                              101.3                              101.1                              23.0                               
12:04:58       499.3               0.0                   104.4                 101.7                              101.5                              101.3                              23.0                               
12:05:11       512.7               9.9                   104.6                 101.7                              101.6                              101.4                              22.9                               
12:05:24       526.1               0.0                   103.8                 101.8                              101.8                              101.6                              23.0                               
12:05:38       539.5               0.0                   108.0                 102.1                              101.9                              101.7                              23.0                               
12:05:51       552.9               0.0                   103.3                 102.1                              102.0                              101.8                              23.0                               
12:06:04       566.3               0.0                   105.3                 102.2                              102.0                              101.9                              23.0                               
12:06:18       579.7               4.3                   104.0                 102.2                              102.1                              102.0                              23.0                               
12:06:31       593.1               0.0                   108.8                 102.2                              102.2                              102.1                              23.0                               
12:06:45       607.1               0.0                   102.6                 102.1                              86.7                               102.0                              22.9                               
12:06:59       621.0               2.5                   109.0                 102.2                              131.7                              102.0                              23.0                               
12:07:13       634.8               0.0                   107.0                 102.2                              86.6                               102.0                              23.0                               
12:07:27       648.6               10.0                  105.4                 102.1                              131.6                              101.9                              23.0                               
12:07:41       662.4               0.0                   106.2                 102.1                              102.7                              101.9                              23.0                               
12:07:54       676.2               0.0                   104.3                 102.0                              93.6                               101.7                              23.0                               
12:08:08       690.0               0.0                   101.8                 102.0                              97.9                               101.7                              23.0                               
12:08:22       703.8               0.0                   105.1                 101.9                              100.1                              101.7                              23.0                               
12:08:36       717.6               0.0                   105.8                 101.9                              101.3                              101.7                              23.0                               
12:08:50       731.4               0.0                   108.6                 101.8                              101.8                              101.5                              23.0                               
12:09:03       745.1               0.0                   103.9                 101.7                              86.3                               101.5                              23.0                               
12:09:17       758.9               10.0                  104.3                 101.6                              130.9                              101.5                              23.0                               
12:09:31       772.7               0.0                   108.0                 101.4                              102.1                              101.3                              23.0                               
12:09:45       786.4               7.1                   102.8                 101.3                              93.0                               101.2                              23.0                               
12:09:58       800.1               0.0                   103.3                 101.3                              97.1                               101.1                              23.0                               
12:10:12       813.8               0.0                   110.0                 101.2                              99.4                               101.0                              23.0                               
12:10:26       827.5               0.0                   107.5                 101.1                              85.7                               100.9                              23.0                               
12:10:39       841.0               4.4                   103.3                 100.9                              130.1                              100.8                              23.0                               
12:10:53       854.6               10.0                  107.8                 100.8                              101.4                              100.8                              23.0                               
12:11:06       868.2               9.7                   106.7                 100.7                              92.4                               100.6                              23.0                               
12:11:20       881.8               2.8                   107.8                 100.6                              96.5                               100.6                              23.0                               
12:11:34       895.3               7.2                   103.2                 100.5                              98.6                               100.5                              23.0                               
12:11:47       908.9               4.8                   100.4                 100.4                              99.7                               100.3                              23.0                               
12:12:01       922.5               7.1                   103.5                 100.4                              100.3                              100.3                              23.0                               
12:12:14       936.1               0.0                   103.3                 100.3                              99.9                               100.2                              23.0                               
12:12:28       949.7               8.3                   100.9                 100.1                              100.0                              100.1                              23.0                               
12:12:41       963.2               10.0                  106.0                 100.1                              100.0                              100.1                              23.0                               
12:12:55       976.8               0.0                   103.6                 100.1                              99.9                               99.9                               23.0                               
12:13:09       990.4               10.0                  100.8                 99.9                               99.9                               99.9                               23.0                               
12:13:22       1004.0              4.8                   105.6                 100.0                              99.8                               99.8                               23.0                               
12:13:36       1017.5              0.0                   101.8                 99.8                               99.8                               99.7                               23.0                               
12:13:49       1031.1              0.0                   106.0                 99.8                               99.7                               99.7                               23.0                               
12:14:03       1044.7              0.0                   103.6                 99.8                               99.7                               99.7                               23.0                               
12:14:16       1057.8              0.0                   108.6                 99.7                               99.7                               99.6                               23.0                               
12:14:30       1071.4              0.0                   100.8                 99.7                               84.6                               99.6                               23.0                               
12:14:43       1085.0              0.0                   105.6                 99.7                               128.3                              99.6                               23.0                               
12:14:57       1098.6              0.0                   106.6                 99.6                               100.2                              99.4                               23.0                               
12:15:10       1112.2              5.8                   102.5                 99.6                               91.3                               99.5                               23.0                               
12:15:24       1125.8              0.0                   102.9                 99.4                               95.4                               99.4                               23.0                               
12:15:38       1139.4              0.0                   103.7                 99.4                               97.5                               99.2                               23.0                               
12:15:51       1153.1              0.0                   101.9                 99.3                               98.7                               99.1                               23.0                               
12:16:05       1166.7              0.0                   103.8                 99.2                               99.2                               99.0                               23.0                               
12:16:18       1180.3              10.0                  103.9                 99.1                               98.8                               98.9                               23.0                               
12:16:32       1193.9              0.0                   99.1                  98.9                               98.7                               98.8                               23.0                               
12:16:46       1207.5              2.0                   105.4                 98.9                               98.7                               98.8                               23.0                               
12:16:59       1221.1              10.0                  104.6                 98.6                               98.6                               98.6                               23.0                               
12:17:13       1234.7              0.0                   102.9                 98.5                               98.4                               98.5                               23.0                               
12:17:27       1248.4              0.0                   100.6                 115.3                              98.3                               98.4                               23.0                               
12:17:40       1262.1              10.0                  100.9                 105.2                              98.2                               98.3                               23.0                               
12:17:54       1275.8              0.4                   99.2                  101.3                              98.1                               98.1                               23.0                               
12:18:08       1289.4              0.0                   102.7                 99.6                               97.9                               98.0                               23.0                               
12:18:21       1302.6              0.0                   102.7                 99.6                               97.8                               98.0                               23.0                               
12:18:34       1315.8              3.4                   99.5                  99.4                               97.7                               97.8                               23.0                               
12:18:47       1329.0              10.0                  101.3                 99.4                               97.6                               97.8                               23.0                               
12:19:00       1342.1              8.6                   100.8                 99.2                               97.5                               97.6                               23.0                               
12:19:14       1355.3              0.0                   103.7                 99.1                               97.4                               97.5                               23.0                               
12:19:27       1368.5              5.1                   98.8                  99.1                               97.3                               97.4                               23.0                               
12:19:40       1381.6              0.0                   103.5                 98.9                               97.2                               97.4                               23.0                               
12:19:53       1394.8              0.4                   95.7                  98.8                               97.1                               97.3                               23.0                               
12:20:06       1408.0              0.0                   102.8                 98.7                               97.1                               97.1                               23.0                               
12:20:19       1421.2              3.2                   104.3                 98.7                               97.0                               97.1                               23.0                               
12:20:33       1434.4              7.3                   101.0                 98.6                               96.9                               97.0                               23.0                               
12:20:46       1447.5              0.0                   101.8                 98.5                               96.7                               96.9                               23.0                               
12:20:59       1460.7              0.0                   102.2                 98.4                               96.7                               96.7                               23.0                               
12:21:12       1473.9              5.0                   102.1                 98.2                               96.5                               96.7                               23.0                               
12:21:25       1487.1              10.0                  104.0                 98.1                               96.4                               96.6                               23.0                               
12:21:38       1500.2              0.0                   100.1                 98.0                               96.3                               96.4                               23.0                               
12:21:52       1513.4              0.0                   100.0                 97.9                               96.1                               96.4                               23.0                               
12:22:05       1526.6              0.0                   103.2                 97.7                               96.1                               96.2                               23.1                               
12:22:18       1539.8              0.0                   102.8                 97.6                               95.8                               96.1                               23.0                               
12:22:31       1553.0              4.7                   102.7                 97.5                               95.8                               96.0                               23.0                               
12:22:44       1566.2              10.0                  102.8                 97.3                               95.7                               95.8                               23.0                               
12:22:58       1579.4              10.0                  98.7                  97.3                               95.5                               95.8                               23.0                               
12:23:11       1592.6              0.0                   99.9                  97.1                               95.5                               95.7                               23.0                               
12:23:24       1605.8              2.3                   97.1                  96.9                               95.4                               95.5                               23.0                               
12:23:37       1619.0              1.7                   99.2                  96.8                               95.2                               95.5                               23.0                               
12:23:50       1632.2              10.0                  100.3                 96.7                               95.2                               95.3                               23.1                               
12:24:04       1645.4              10.0                  100.1                 96.7                               95.1                               95.3                               23.0                               
12:24:17       1658.6              10.0                  100.4                 96.5                               95.0                               95.2                               23.0                               
12:24:30       1671.8              8.3                   99.9                  96.6                               95.0                               95.1                               23.0                               
12:24:43       1685.0              0.0                   102.8                 96.6                               94.9                               95.1                               23.0                               
12:24:56       1698.1              2.5                   103.7                 96.5                               94.9                               95.0                               23.0                               
12:25:09       1711.3              10.0                  102.8                 96.4                               94.9                               95.0                               23.0                               
12:25:23       1724.5              10.0                  100.2                 96.4                               94.9                               94.9                               23.0                               
12:25:36       1737.6              10.0                  96.5                  96.5                               94.8                               95.0                               23.0                               
12:25:49       1750.8              4.1                   99.9                  96.5                               94.8                               95.0                               23.0                               
12:26:02       1763.9              0.0                   101.6                 96.4                               94.9                               95.0                               23.0                               
12:26:15       1777.1              10.0                  102.5                 96.4                               94.9                               95.0                               23.0                               
12:26:28       1790.2              10.0                  98.4                  96.5                               94.9                               95.1                               23.0                               
12:26:42       1803.4              0.0                   98.3                  96.6                               94.9                               95.0                               23.0                               
12:26:55       1816.6              10.0                  96.5                  96.6                               95.0                               95.1                               23.0                               
12:27:08       1829.8              10.0                  101.7                 96.6                               95.0                               95.1                               23.0                               
12:27:21       1843.0              10.0                  95.9                  96.7                               95.1                               95.3                               23.0                               
12:27:34       1856.1              4.5                   98.6                  96.6                               95.1                               95.3                               23.0                               
12:27:48       1869.3              6.1                   97.9                  96.7                               95.2                               95.4                               23.0                               
12:28:01       1882.5              9.2                   98.8                  96.9                               95.3                               95.3                               23.0                               
12:28:14       1895.7              0.0                   102.4                 97.0                               95.5                               95.5                               23.0                               
12:28:27       1908.9              3.6                   103.7                 97.1                               96.0                               95.6                               23.0                               
12:28:40       1922.0              9.1                   103.8                 97.2                               96.1                               95.8                               23.0                               
12:28:53       1935.2              9.2                   104.2                 97.4                               95.7                               95.9                               23.0                               
12:29:07       1948.4              10.0                  102.0                 97.4                               95.9                               95.9                               23.0                               
12:29:20       1961.5              0.0                   102.7                 97.6                               96.0                               96.0                               23.0                               
12:29:33       1974.7              0.0                   103.8                 97.6                               96.0                               96.2                               23.0                               
12:29:46       1988.1              0.0                   97.6                  97.7                               96.1                               96.3                               23.1                               
12:30:00       2001.4              6.8                   102.9                 97.9                               96.2                               96.4                               23.0                               
12:30:13       2014.6              7.8                   100.9                 98.1                               96.3                               96.4                               23.0                               
12:30:26       2027.9              0.0                   102.6                 98.2                               96.5                               96.6                               23.0                               
12:30:39       2041.1              2.2                   101.8                 98.1                               96.5                               96.6                               23.0                               
12:30:53       2054.3              0.0                   103.3                 98.2                               96.6                               96.7                               23.0                               
12:31:06       2067.5              5.2                   99.4                  98.3                               96.7                               96.7                               23.1                               
12:31:19       2080.7              0.0                   105.1                 98.3                               96.8                               96.7                               23.1                               
12:31:32       2093.9              0.0                   100.4                 98.3                               96.8                               96.7                               23.0                               
12:31:45       2107.1              0.0                   98.6                  98.2                               96.7                               96.8                               23.0                               
12:31:58       2120.2              0.0                   101.4                 98.4                               96.7                               96.8                               23.0                               
12:32:11       2133.3              0.0                   100.3                 98.4                               96.7                               96.8                               23.0                               
12:32:25       2146.4              0.0                   106.4                 98.3                               96.7                               96.8                               23.0                               
12:32:38       2159.5              0.0                   98.4                  98.3                               96.7                               96.8                               23.0                               
12:32:51       2172.5              10.0                  102.2                 98.2                               96.6                               96.7                               23.0                               
12:33:04       2185.6              0.2                   100.4                 98.1                               96.5                               96.6                               23.0                               
12:33:17       2198.8              0.0                   103.8                 98.1                               96.5                               96.5                               23.1                               
12:33:30       2211.9              4.5                   102.5                 98.1                               96.4                               96.4                               23.1                               
12:33:43       2225.0              0.0                   105.8                 97.9                               96.3                               96.3                               23.0                               
12:33:56       2238.0              2.7                   102.4                 97.9                               96.2                               96.4                               23.0                               
12:34:09       2251.2              4.6                   102.5                 97.8                               96.2                               96.2                               23.0                               
12:34:22       2264.3              0.0                   103.0                 97.6                               96.1                               96.2                               23.1                               
12:34:36       2277.4              4.6                   96.5                  97.5                               96.0                               96.1                               23.0                               
12:34:49       2290.5              10.0                  101.0                 97.4                               95.9                               96.0                               23.1                               
12:35:02       2303.5              4.6                   99.8                  97.4                               95.8                               95.9                               23.0                               
12:35:15       2316.7              10.0                  96.1                  97.2                               95.7                               95.7                               23.0                               
12:35:28       2329.8              3.1                   99.4                  97.1                               95.6                               95.7                               23.0                               
12:35:41       2342.9              9.6                   99.7                  97.0                               95.5                               95.7                               23.1                               
12:35:54       2355.9              0.0                   106.5                 97.0                               95.4                               95.6                               23.1                               
